Layer,Zoning,Brand_Slug,Total_Products,Sport_Pct,Apparel_Pct,Acc_Pct,Category_Count,Top_Count,Outer_Count,Bottom_Count,Dress_Count,Bag_Count,Shoes_Count,Categories,Selected(Y/N),Notes
Layer 1,캐주얼/스트리트,musinsastandard,1346,1.3,847.7,174.8,7,2586,5431,3393,0,1389,341,"가방, 바지, 상의, 스포츠/레저, 신발, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,musinsastandardwoman,1077,2.6,848.3,17.7,7,1434,2690,1555,3457,137,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 2,SPA/매스,8seconds,291,5.5,297.3,8.9,8,60,225,28,552,1,2,"가방, 바지, 상의, 스포츠/레저, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 2,SPA/매스,spao,203,6.9,638.9,61.1,8,248,859,112,78,81,9,"가방, 바지, 상의, 스포츠/레저, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 2,SPA/매스,mixxo,200,0,443,101.5,7,107,411,92,276,151,18,"가방, 바지, 상의, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,디자이너/컨템,travel,194,0,663.9,19.1,5,328,881,59,20,37,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,trillion,189,0,1407.9,6.9,4,872,1347,442,0,13,0,"가방, 바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,dimitriblack,187,0,1577,0.5,4,591,1481,877,0,0,0,"바지, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,generalideastandard,186,0,630.1,26.3,6,141,575,2,454,9,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,디자이너/컨템,marithefrancoisgirbaud,155,0,156.1,531.6,7,53,140,11,38,626,5,"가방, 바지, 상의, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,디자이너/컨템,matinkim,147,11.6,159.9,554.4,6,41,192,0,2,665,0,"가방, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 2,글로벌 캐주얼,lee,146,0.7,461.6,289.7,8,80,350,178,66,292,20,"가방, 바지, 상의, 스포츠/레저, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,thisisneverthat,134,2.2,613.4,374.6,6,286,524,12,0,284,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,mucent,133,13.5,583.5,750.4,8,234,315,177,50,819,3,"가방, 바지, 상의, 스포츠/레저, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,toffee,133,0,849.6,31.6,4,137,556,437,0,42,0,"가방, 바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,drawfit,131,18.3,866.4,133.6,6,342,645,148,0,173,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 패션소품",y,
