Tier,Slug,Season_Count,RTW_Seasons,Men_Seasons,Already_Collected,Selected(Y/N),Notes
T1-Mega Luxury,dolce-gabbana,10,6,4,Y,y,
T1-Mega Luxury,hermes,10,6,4,Y,y,
T1-Mega Luxury,louis-vuitton,10,6,4,Y,y,
T1-Mega Luxury,prada,10,6,4,Y,y,
T1-Mega Luxury,saint-laurent,10,6,4,Y,y,
T1-Mega Luxury,brioni,9,5,4,N,y,
T1-Mega Luxury,gucci,8,6,2,Y,y,
T1-Mega Luxury,balmain,7,6,1,Y,y,
T1-Mega Luxury,fendi,7,6,1,Y,y,
T1-Mega Luxury,loewe,7,6,1,Y,y,
T1-Mega Luxury,alexander-mcqueen,6,6,0,Y,y,
T1-Mega Luxury,balenciaga,6,6,0,Y,y,
T1-Mega Luxury,chanel,6,6,0,Y,y,
T1-Mega Luxury,christian-dior,6,6,0,Y,y,
T1-Mega Luxury,miu-miu,6,6,0,Y,y,
T1-Mega Luxury,valentino,6,6,0,Y,y,
T1-Mega Luxury,bottega-veneta,5,5,0,Y,y,
T1-Mega Luxury,givenchy,5,5,0,Y,y,
T1-Mega Luxury,versace,5,5,0,Y,y,
T1-Mega Luxury,berluti,4,0,4,N,y,
T1-Mega Luxury,celine,2,2,0,Y,y,
T2-Luxury/Independent,brunello-cucinelli,10,6,4,N,y,
T2-Luxury/Independent,dsquared,10,6,4,N,y,
T2-Luxury/Independent,giorgio-armani,10,6,4,N,y,
T2-Luxury/Independent,isabel-marant,10,6,4,Y,y,
T2-Luxury/Independent,loro-piana,10,6,4,N,y,
T2-Luxury/Independent,moschino,10,6,4,N,n,
T2-Luxury/Independent,ralph-lauren,10,6,4,N,y,
T2-Luxury/Independent,rick-owens,10,6,4,Y,y,
T2-Luxury/Independent,tod-s,10,6,4,N,y,
T2-Luxury/Independent,emporio-armani,9,6,3,N,y,
T2-Luxury/Independent,etro,9,6,3,N,y,
T2-Luxury/Independent,row,8,5,3,N,y,
T2-Luxury/Independent,missoni,7,6,1,N,n,
T2-Luxury/Independent,tom-ford,7,6,1,N,y,
T2-Luxury/Independent,alberta-ferretti,6,6,0,N,y,
T2-Luxury/Independent,azzedine-alaia,6,6,0,N,y,
T2-Luxury/Independent,carolina-herrera,6,6,0,N,y,
T2-Luxury/Independent,chloe,6,6,0,Y,y,
T2-Luxury/Independent,elie-saab,6,6,0,N,y,
T2-Luxury/Independent,jil-sander,6,6,0,Y,y,
T2-Luxury/Independent,max-mara,6,6,0,Y,y,
T2-Luxury/Independent,michael-kors-collection,6,6,0,N,y,
T2-Luxury/Independent,proenza-schouler,6,6,0,N,y,
T2-Luxury/Independent,roberto-cavalli,6,6,0,N,y,
T2-Luxury/Independent,salvatore-ferragamo,6,6,0,N,y,
T2-Luxury/Independent,schiaparelli,6,6,0,Y,y,
T2-Luxury/Independent,stella-mccartney,6,6,0,Y,y,
T2-Luxury/Independent,zuhair-murad,6,6,0,N,n,
T2-Luxury/Independent,marc-jacobs,5,5,0,N,y,
T2-Luxury/Independent,polo-ralph-lauren,5,5,0,N,y,
T3-Contemporary,acne-studios,10,6,4,Y,y,
T3-Contemporary,dries-van-noten,10,6,4,N,y,
T3-Contemporary,msgm,10,6,4,N,y,
T3-Contemporary,our-legacy,10,6,4,N,y,
T3-Contemporary,rag-bone,10,6,4,N,y,
T3-Contemporary,courreges,9,6,3,N,y,
T3-Contemporary,no-21,9,6,3,N,y,
T3-Contemporary,christophe-lemaire,8,4,4,N,y,
T3-Contemporary,plan-c,8,6,2,N,y,
T3-Contemporary,simone-rocha,8,6,2,N,y,
T3-Contemporary,uma-wang,8,6,2,N,y,
T3-Contemporary,a-w-a-k-e,6,6,0,N,y,
T3-Contemporary,alessandra-rich,6,6,0,N,n,
T3-Contemporary,ann-demeulemeester,6,6,0,N,y,
T3-Contemporary,anteprima,6,6,0,N,y,
T3-Contemporary,blumarine,6,6,0,N,y,
T3-Contemporary,coach,6,6,0,N,y,
T3-Contemporary,cult-gaia,6,6,0,N,n,
T3-Contemporary,erdem,6,6,0,N,y,
T3-Contemporary,ermanno-scervino,6,6,0,N,n,
T3-Contemporary,genny,6,6,0,N,y,
T3-Contemporary,khaite,6,6,0,N,y,
T3-Contemporary,monique-lhuillier,6,6,0,N,n,
T3-Contemporary,sandy-liang,6,6,0,N,y,
T3-Contemporary,staud,6,6,0,N,y,
T3-Contemporary,tory-burch,6,6,0,N,y,
T3-Contemporary,victoria-beckham,6,6,0,N,y,
T3-Contemporary,vivienne-westwood,6,5,1,N,y,
T3-Contemporary,zimmermann,6,6,0,N,y,
T3-Contemporary,16arlington,5,5,0,N,y,
T3-Contemporary,alexander-wang,5,5,0,N,y,
T3-Contemporary,coperni,5,5,0,Y,y,
T3-Contemporary,fear-of-god,5,2,3,N,y,
T3-Contemporary,jacquemus,5,5,0,N,y,
T3-Contemporary,ludovic-de-saint-sernin,5,5,0,N,y,
T3-Contemporary,marine-serre,5,3,2,Y,y,
T3-Contemporary,marni,5,5,0,Y,y,
T3-Contemporary,nanushka,5,5,0,N,y,
T3-Contemporary,off-white,5,5,0,Y,y,
T3-Contemporary,thom-browne,5,4,1,Y,y,
T3-Contemporary,wales-bonner,5,1,4,Y,y,
T3-Contemporary,amiri,4,0,4,N,y,
T3-Contemporary,badgley-mischka,4,4,0,N,n,
T3-Contemporary,ganni,4,4,0,N,y,
T3-Contemporary,rokh,4,4,0,Y,y,
T3-Contemporary,peter-do,3,3,0,Y,y,
T3-Contemporary,nensi-dojaka,2,2,0,N,n,
T4-Japanese,junya-watanabe,10,6,4,Y,y,
T4-Japanese,kiko-kostadinov,10,6,4,N,y,
T4-Japanese,sacai,10,6,4,Y,y,
T4-Japanese,undercover,10,6,4,N,y,
T4-Japanese,yohji-yamamoto,10,6,4,Y,y,
T4-Japanese,cfcl,9,6,3,N,y,
T4-Japanese,comme-des-garcons,6,6,0,Y,y,
T4-Japanese,issey-miyake,6,6,0,Y,y,
T4-Japanese,kenzo,6,2,4,Y,y,
T4-Japanese,noir-kei-ninomiya,6,6,0,N,n,
T4-Japanese,toga,6,6,0,N,y,
T4-Japanese,doublet,4,0,4,N,y,
