Tier,Slug,Season_Count,RTW_Seasons,Men_Seasons,Already_Collected,Selected(Y/N),Notes
T1-Mega Luxury,prada,6,4,2,Y, y,
T1-Mega Luxury,louis-vuitton,6,4,2,Y, y,
T1-Mega Luxury,saint-laurent,6,4,2,Y, y,
T1-Mega Luxury,dolce-gabbana,6,4,2,Y, y,
T1-Mega Luxury,hermes,6,4,2,Y, y,
T1-Mega Luxury,balmain,5,4,1,Y, y,
T1-Mega Luxury,chanel,4,4,0,Y, y,
T1-Mega Luxury,fendi,4,4,0,Y, y,
T1-Mega Luxury,gucci,4,4,0,Y, y,
T1-Mega Luxury,valentino,4,4,0,Y, y,
T1-Mega Luxury,balenciaga,4,4,0,Y, y,
T1-Mega Luxury,loewe,4,4,0,Y, y,
T1-Mega Luxury,miu-miu,4,4,0,Y, y,
T1-Mega Luxury,alexander-mcqueen,4,4,0,Y, y,
T1-Mega Luxury,givenchy,3,3,0,Y, y,
T1-Mega Luxury,bottega-veneta,3,3,0,Y, y,
T1-Mega Luxury,versace,3,3,0,Y, y,
T1-Mega Luxury,celine,2,2,0,Y, y,
T2-Luxury/Independent,giorgio-armani,6,4,2,N,y,
T2-Luxury/Independent,isabel-marant,6,4,2,Y, y,
T2-Luxury/Independent,tod-s,6,4,2,N,y,
T2-Luxury/Independent,ralph-lauren,6,4,2,N,y,
T2-Luxury/Independent,brunello-cucinelli,6,4,2,N,y,
T2-Luxury/Independent,moschino,6,4,2,N,y,
T2-Luxury/Independent,rick-owens,6,4,2,Y, y,
T2-Luxury/Independent,loro-piana,6,4,2,N,y,
T2-Luxury/Independent,etro,6,4,2,N,y,
T2-Luxury/Independent,dsquared,6,4,2,N,y,
T2-Luxury/Independent,emporio-armani,5,4,1,N,n,
T2-Luxury/Independent,missoni,4,4,0,N,n,
T2-Luxury/Independent,jil-sander,4,4,0,Y, y,
T2-Luxury/Independent,zuhair-murad,4,4,0,N,y,
T2-Luxury/Independent,azzedine-alaia,4,4,0,N,y,
T2-Luxury/Independent,roberto-cavalli,4,4,0,N,y,
T2-Luxury/Independent,michael-kors-collection,4,4,0,N,y,
T2-Luxury/Independent,polo-ralph-lauren,4,4,0,N,y,
T2-Luxury/Independent,max-mara,4,4,0,Y, y,
T2-Luxury/Independent,stella-mccartney,4,4,0,Y, y,
T2-Luxury/Independent,chloe,4,4,0,Y, y,
T2-Luxury/Independent,alberta-ferretti,4,4,0,N,y,
T2-Luxury/Independent,schiaparelli,4,4,0,Y, y,
T2-Luxury/Independent,elie-saab,4,4,0,N,n,
T2-Luxury/Independent,salvatore-ferragamo,4,4,0,N,y,
T2-Luxury/Independent,marni,3,3,0,Y, y,
T3-Contemporary,uma-wang,6,4,2,N,y,
T3-Contemporary,cfcl,6,4,2,N,y,
T3-Contemporary,our-legacy,6,4,2,N,y,
T3-Contemporary,brioni,6,4,2,N,y,
T3-Contemporary,rag-bone,6,4,2,N,y,
T3-Contemporary,msgm,6,4,2,N,n,
T3-Contemporary,sacai,6,4,2,Y, y,
T3-Contemporary,christophe-lemaire,6,4,2,N,y,
T3-Contemporary,dries-van-noten,6,4,2,N,y,
T3-Contemporary,no-21,6,4,2,N,y,
T3-Contemporary,nehera,6,4,2,N,y,
T3-Contemporary,lii,6,4,2,N,y,
T3-Contemporary,acne-studios,6,4,2,Y, y,
T3-Contemporary,simone-rocha,5,4,1,N,y,
T3-Contemporary,courreges,5,4,1,N,y,
T3-Contemporary,niccolo-pasqualetti,5,4,1,N,n,
T3-Contemporary,plan-c,5,4,1,N,y,
T3-Contemporary,sandy-liang,4,4,0,N,y,
T3-Contemporary,a-w-a-k-e,4,4,0,N,y,
T3-Contemporary,off-white,4,4,0,Y, y,
T3-Contemporary,cult-gaia,4,4,0,N,n,
T3-Contemporary,zimmermann,4,4,0,N,y,
T3-Contemporary,ganni,4,4,0,N,y,
T3-Contemporary,alessandra-rich,4,4,0,N,n,
T3-Contemporary,staud,4,4,0,N,y,
T3-Contemporary,thom-browne,4,3,1,Y, y,
T3-Contemporary,ludovic-de-saint-sernin,4,4,0,N,y,
T3-Contemporary,nanushka,4,4,0,N,y,
T3-Contemporary,coperni,3,3,0,Y, y,
T3-Contemporary,jacquemus,3,3,0,N,y,
T3-Contemporary,marine-serre,3,2,1,Y, y,
T3-Contemporary,wales-bonner,3,1,2,Y, y,
T3-Contemporary,rokh,2,2,0,Y, y,
T3-Contemporary,peter-do,1,1,0,Y, y,
T4-Japanese,yohji-yamamoto,6,4,2,Y, y,
T4-Japanese,junya-watanabe,6,4,2,Y, y,
T4-Japanese,kiko-kostadinov,6,4,2,N,y,
T4-Japanese,undercover,6,4,2,N,y,
T4-Japanese,noir-kei-ninomiya,4,4,0,N,n,
T4-Japanese,comme-des-garcons,4,4,0,Y, y,
T4-Japanese,issey-miyake,4,4,0,Y, y,
T4-Japanese,toga,4,4,0,N,y,
T4-Japanese,kenzo,3,1,2,Y, y,
T5-Korean/Asian,cong-tri,4,4,0,N,n,
T5-Korean/Asian,wooyoungmi,2,0,2,Y, y,
T6-Emerging,conner-ives,4,4,0,N,n,
T6-Emerging,charlotte-knowles,4,4,0,N,n,
T6-Emerging,jawara-alleyne,4,4,0,N,n,
T6-Emerging,fashion-east,4,4,0,N,n,
T6-Emerging,melitta-baumeister,4,4,0,N,n,
T6-Emerging,di-petsa,4,4,0,N,n,
T6-Emerging,16arlington,3,3,0,N,n,
T6-Emerging,duran-lantink,2,2,0,N,n,
T6-Emerging,nensi-dojaka,1,1,0,N,n,
T7-Regular,patou,4,4,0,N,,
T7-Regular,luisa-spagnoli,4,4,0,N,,
T7-Regular,sc103,4,4,0,N,,
T7-Regular,karoline-vitto,4,4,0,N,,
T7-Regular,vaquera,4,4,0,N,,
T7-Regular,alejandra-alonso-rojas,4,4,0,N,,
T7-Regular,erdem,4,4,0,N,,
T7-Regular,sportmax,4,4,0,N,,
T7-Regular,mossi,4,4,0,N,,
T7-Regular,petar-petrov,4,4,0,N,,
T7-Regular,diane-von-furstenberg,4,4,0,N,,
T7-Regular,r13,4,4,0,N,,
T7-Regular,veronica-beard,4,4,0,N,,
T7-Regular,abra,4,4,0,N,,
T7-Regular,mm6-maison-martin-margiela,4,4,0,N,y,
T7-Regular,greta-constantine,4,4,0,N,,
T7-Regular,reem-acra,4,4,0,N,,
T7-Regular,tanner-fletcher,4,4,0,N,,
T7-Regular,shiatzy-chen,4,4,0,N,,
T7-Regular,christian-wijnants,4,4,0,N,,
T7-Regular,nellie-partow,4,4,0,N,,
T7-Regular,luisa-beccaria,4,4,0,N,,
T7-Regular,brandon-maxwell,4,4,0,N,,
T7-Regular,european-culture,4,4,0,N,,
T7-Regular,edeline-lee,4,4,0,N,,
T7-Regular,christian-dior,4,4,0,N,y,
T7-Regular,hui,4,4,0,N,,
T7-Regular,laquan-smith,4,4,0,N,,
T7-Regular,proenza-schouler,4,4,0,N,,
T7-Regular,ann-demeulemeester,4,4,0,N,,
T7-Regular,a-l-c,4,4,0,N,,
T7-Regular,snow-xue-gao,4,4,0,N,,
T7-Regular,charlie-constantinou,4,4,0,N,,
T7-Regular,dusan,4,4,0,N,,
T7-Regular,loveshackfancy,4,4,0,N,,
T7-Regular,lela-rose,4,4,0,N,,
T7-Regular,christopher-esber,4,4,0,N,,
T7-Regular,kim-shui,4,4,0,N,,
T7-Regular,rentrayage,4,4,0,N,,
T7-Regular,jonathan-simkhai,4,4,0,N,,
T7-Regular,gauchere,4,4,0,N,,
T7-Regular,christian-cowan,4,4,0,N,,
